CMDLINE /home/halfak/venv/3.5/bin/python3 demo_global_memory.py
MEM 1.472656 1520965577.6832
MEM 14.140625 1520965577.7931
MEM 23.503906 1520965577.9032
MEM 24.578125 1520965578.0130
MEM 28.277344 1520965578.1228
MEM 36.433594 1520965578.2327
MEM 60.925781 1520965578.3428
MEM 85.675781 1520965578.4529
MEM 100.628906 1520965578.5627
MEM 125.378906 1520965578.6729
MEM 149.871094 1520965578.7827
MEM 172.816406 1520965578.8931
MEM 194.214844 1520965579.0031
MEM 219.222656 1520965579.1130
MEM 244.253906 1520965579.2227
MEM 264.621094 1520965579.3325
MEM 289.113281 1520965579.4426
MEM 312.574219 1520965579.5527
MEM 333.199219 1520965579.6624
MEM 357.949219 1520965579.7727
MEM 382.183594 1520965579.8827
MEM 406.675781 1520965579.9925
MEM 427.558594 1520965580.1026
MEM 453.167969 1520965580.2127
MEM 477.660156 1520965580.3225
MEM 498.285156 1520965580.4323
MEM 522.519531 1520965580.5423
MEM 547.269531 1520965580.6519
MEM 571.503906 1520965580.7624
MEM 592.128906 1520965580.8729
MEM 616.878906 1520965580.9832
MEM 641.628906 1520965581.0929
MEM 662.511719 1520965581.2026
MEM 687.003906 1520965581.3127
MEM 711.496094 1520965581.4227
MEM 732.121094 1520965581.5326
MEM 756.871094 1520965581.6427
MEM 781.621094 1520965581.7524
MEM 805.855469 1520965581.8622
MEM 826.738281 1520965581.9720
MEM 850.972656 1520965582.0817
MEM 877.679688 1520965582.1914
MEM 898.562500 1520965582.3015
MEM 923.054688 1520965582.4123
MEM 947.546875 1520965582.5221
MEM 971.781250 1520965582.6321
MEM 979.257812 1520965582.7430
MEM 979.257812 1520965582.8533
MEM 984.156250 1520965582.9633
MEM 4907.242188 1520965583.0830
MEM 4907.242188 1520965583.2025
MEM 4907.242188 1520965583.3205
MEM 4907.242188 1520965583.4401
MEM 4907.242188 1520965583.5622
MEM 4907.242188 1520965583.6844
MEM 4907.242188 1520965583.8088
MEM 4907.242188 1520965583.9328
MEM 4907.242188 1520965584.0571
MEM 4907.242188 1520965584.1808
MEM 4907.242188 1520965584.3044
MEM 4907.242188 1520965584.4241
MEM 4907.242188 1520965584.5476
MEM 4907.242188 1520965584.6631
MEM 4907.242188 1520965584.7800
MEM 4907.242188 1520965584.8934
MEM 4907.242188 1520965585.0201
MEM 4907.242188 1520965585.1356
MEM 4907.242188 1520965585.2632
MEM 4907.242188 1520965585.3907
