CMDLINE /home/halfak/venv/3.5/bin/python3 demo_import_memory.py
MEM 3.742188 1520965639.2603
MEM 14.144531 1520965639.3741
MEM 23.593750 1520965639.4852
MEM 24.625000 1520965639.5960
MEM 27.125000 1520965639.7078
MEM 31.996094 1520965639.8194
MEM 55.972656 1520965639.9298
MEM 80.464844 1520965640.0415
MEM 96.191406 1520965640.1549
MEM 119.652344 1520965640.2664
MEM 144.660156 1520965640.3820
MEM 167.347656 1520965640.4932
MEM 187.199219 1520965640.6034
MEM 212.207031 1520965640.7142
MEM 237.472656 1520965640.8244
MEM 259.054688 1520965640.9345
MEM 280.453125 1520965641.0509
MEM 305.460938 1520965641.1615
MEM 330.984375 1520965641.2723
MEM 352.125000 1520965641.3827
MEM 377.648438 1520965641.4930
MEM 403.171875 1520965641.6049
MEM 424.828125 1520965641.7186
MEM 451.210938 1520965641.8289
MEM 476.476562 1520965641.9390
MEM 498.132812 1520965642.0495
MEM 523.914062 1520965642.1598
MEM 549.437500 1520965642.2707
MEM 571.867188 1520965642.3813
MEM 596.101562 1520965642.4919
MEM 621.882812 1520965642.6023
MEM 647.406250 1520965642.7150
MEM 669.578125 1520965642.8250
MEM 693.554688 1520965642.9350
MEM 719.078125 1520965643.0454
MEM 740.734375 1520965643.1554
MEM 766.257812 1520965643.2655
MEM 791.523438 1520965643.3794
MEM 813.953125 1520965643.4898
MEM 839.218750 1520965643.5999
MEM 866.699219 1520965643.7100
MEM 892.222656 1520965643.8208
MEM 913.621094 1520965643.9311
MEM 939.144531 1520965644.0413
MEM 964.925781 1520965644.1517
MEM 978.847656 1520965644.2626
MEM 978.847656 1520965644.3734
MEM 980.136719 1520965644.4836
MEM 4909.808594 1520965644.6110
MEM 4909.808594 1520965644.7322
MEM 4909.808594 1520965644.8488
MEM 4909.808594 1520965644.9685
MEM 4909.808594 1520965645.0940
MEM 4909.808594 1520965645.2117
MEM 4909.808594 1520965645.3275
MEM 4909.808594 1520965645.4555
MEM 4909.808594 1520965645.5754
MEM 4909.808594 1520965645.6913
MEM 4909.808594 1520965645.8150
MEM 4909.808594 1520965645.9404
MEM 4909.808594 1520965646.0684
MEM 4909.808594 1520965646.1963
MEM 4909.808594 1520965646.3190
MEM 4909.808594 1520965646.4452
MEM 4909.808594 1520965646.5664
MEM 4909.808594 1520965646.6934
MEM 4909.808594 1520965646.8161
MEM 4909.808594 1520965646.9394
MEM 4909.808594 1520965647.0598
MEM 4909.808594 1520965647.1846
MEM 4909.808594 1520965647.3124
MEM 4909.808594 1520965647.4374
MEM 4909.808594 1520965647.5633
MEM 4909.808594 1520965647.6797
MEM 4909.808594 1520965647.8060
MEM 4909.808594 1520965647.9242
MEM 4909.808594 1520965648.0505
MEM 4909.808594 1520965648.1707
MEM 4909.808594 1520965648.2995
MEM 4909.808594 1520965648.4282
MEM 4909.808594 1520965648.5445
MEM 4909.808594 1520965648.6606
MEM 4909.808594 1520965648.7859
MEM 4909.808594 1520965648.9132
MEM 4909.808594 1520965649.0313
MEM 4909.808594 1520965649.1537
MEM 4909.808594 1520965649.2700
MEM 4909.808594 1520965649.3949
MEM 4909.808594 1520965649.5179
MEM 4909.808594 1520965649.6427
MEM 4909.808594 1520965649.7663
MEM 4909.808594 1520965649.8926
